,Earth Radius:,6371000,,,,,,,,,,
CosLatOrigin:,0.6722511875,,,,,,,,,,,
,,,,,,,,,,,,
Name,Latitude,Longitude,East (m),North (m),Links,,,,Direct,distances,,
Origin,47.758949,-122.190746,0,0,,,,,,,,
1,47.762374,-122.193207,-183.969,380.865,2,3,,,110.930,42.518,,
2,47.762374,-122.191723,-73.039,380.865,1,4,8,,110.930,68.795,268.441,
3,47.761992,-122.193182,-182.101,338.388,1,4,5,6,42.518,65.356,41.915,53.928
4,47.761902,-122.192318,-117.516,328.381,2,3,6,7,68.795,65.356,38.306,215.857
5,47.761617,-122.193125,-177.840,296.690,3,6,11,,41.915,34.295,367.227,
6,47.761651,-122.192669,-143.753,300.471,3,4,5,9,53.928,38.306,34.295,277.145
7,47.760016,-122.191634,-66.386,118.667,4,14,8,,215.857,238.981,142.961,
8,47.760342,-122.189784,71.903,154.917,2,7,15,,268.441,142.961,269.358,
9,47.759416,-122.191028,-21.087,51.950,6,10,12,,277.145,55.483,117.211,
10,47.759078,-122.191574,-61.901,14.366,9,11,12,,55.483,155.421,92.886,
11,47.758317,-122.193318,-192.267,-70.253,5,10,13,,367.227,155.421,187.390,
12,47.758364,-122.190929,-13.687,-65.027,9,10,13,,117.211,92.886,33.283,
13,47.758071,-122.190838,-6.885,-97.607,11,12,14,,187.390,33.283,40.745,
14,47.758065,-122.190293,33.855,-98.274,7,13,16,17,238.981,40.745,63.663,133.523
15,47.757929,-122.189467,95.599,-113.397,8,16,18,,269.358,26.369,182.216,
16,47.757715,-122.189619,84.237,-137.192,14,17,,,63.663,125.881,,
17,47.756916,-122.190812,-4.941,-226.037,14,16,,,133.523,125.881,,
18,47.756300,-122.189202,115.408,-294.533,15,,,,182.216,,,

